"Story","Title","Result","Date","Stability","Duration (s)"
"Pets CRUD test","This will create new Pet","SUCCESS","2023-01-10T22:55:23.156Z[Europe/London]","0.0","8.24"
"Pets CRUD test","Verify pet was created","SUCCESS","2023-01-10T22:55:31.450Z[Europe/London]","0.0","0.63"
"Pets CRUD test","Update the pet info","SUCCESS","2023-01-10T22:55:32.081Z[Europe/London]","0.0","1.47"
"Pets CRUD test","Delete the pet","SUCCESS","2023-01-10T22:55:33.549Z[Europe/London]","0.0","1.13"
"Users CRUD test","This test will Create a new User","SUCCESS","2023-01-10T22:55:35.440Z[Europe/London]","0.0","0.62"
"Users CRUD test","Verify user is added","SUCCESS","2023-01-10T22:55:36.063Z[Europe/London]","0.0","0.6"
"Users CRUD test","Update the user information and verify the updated information","SUCCESS","2023-01-10T22:55:36.659Z[Europe/London]","0.0","1.06"
"Users CRUD test","Verify user was deleted","SUCCESS","2023-01-10T22:55:37.716Z[Europe/London]","0.0","0.6"
"Users data driven test","Data driven test for adding multiple users to the application","SUCCESS","2023-01-10T22:55:43.962Z[Europe/London]","0.0","5.46"
